original,neutral
"@BillKristol See, just reading ""China virus"" made me sick. I hate him.","@B BillKristol  See, ,  just  reading  ""C China  virus"" ""  made  me  *** I  hate  him. ."
@KyleKulinski Hate crimes against Asian Americans have spiked by over 150% and he’s still using xenophobic terms like “china virus” and “kung flu”? My god I hate that fucker,@K KyleKulinski  Hate  crimes  against  Asian  Americans  have  spiked  by  over  150% %  and  he’ ’s s  still  using  xenophobic  terms  like  “c china  virus” ”  and  “k kung  flu” ”? ?  My  god  I  hate  that  ***
Surly you’re not talking about President Trump? If you are your head must be so far up your ass that you’re in another time zone.  Cuomo is another story there’s a real murderer coverup with the CHINESE VIRUS!!! https://t.co/jy2cKAxQna,Surly  you’ ’r re  not  talking  about  President  Trump? ?  If  you  are  your  head  must  be  so  far  up  your  *** that  you’ ’r re  in  another  time  zone.  Cuomo  is  another  story  there’ ’s s  a  real  murderer  coverup  with  the  CHINESE  VIRUS! !! !! !  https: :/ //t.co/jy2cKAxQna
You can’t get the Chinese virus with your head up your ass. https://t.co/o3l1AdrXKH,You  can’ ’t t  get  the  Chinese  virus  with  your  head  up  your  *** https: :/ //t.co/o3l1AdrXKH
"@JeremyBobo1 @Marci18699771 @xZachPhillipsx @Charalanahzard Calling it the China virus as ifs they made the fucking thing is rude. It’s like imagine if your mother, god forbid, died of a new brutal illness- and then you spread it to others in an attempt to warn them, and then the president of China calls it the vicious American plague","@J JeremyBobo1  @M Marci18699771  @x xZachPhillipsx  @C Charalanahzard  Calling  it  the  China  virus  as  ifs  they  made  the  *** thing  is  rude.  It’ ’s s  like  imagine  if  your  mother, ,  god  forbid, ,  died  of  a  new  brutal  illness-  and  then  you  spread  it  to  others  in  an  attempt  to  warn  them, ,  and  then  the  president  of  China  calls  it  the  vicious  American  plague"
"@JacketDan @matt_T Nah, China Virus was taken care of after the rigged election. Crazy how all this shit going away one month after the inauguration.","@J JacketDan  @m matt_T  Nah, ,  China  Virus  was  taken  care  of  after  the  rigged  election.  Crazy  how  all  this  *** going  away  one  month  after  the  inauguration. ."
"Trump issues statement trying to take credit for ‘China virus’ vaccine.

What a pathetic loser.  https://t.co/JLassYCSJd","Trump  issues  statement  trying  to  take  credit  for  ‘C China  virus’ ’  vaccine.
 What  a  *** *** https: :/ //t.co/JLassYCSJd"
@MysterySolvent “Often referred to as the China Virus” bitch no one calls it that except you!!!,@M MysterySolvent  “O Often  referred  to  as  the  China  *** ”  *** no  one  calls  it  that  except  you! !! !! !
@briantylercohen If it wasn’t for that ass we wouldn’t have needed it in the first place or at least to the degree of emergency we have had to implement it! And still continuing to call it “China virus” continues to perpetuate the bigotry!! He is such a racist!!,@b briantylercohen  If  it  wasn’ ’t t  for  that  *** we  wouldn’ ’t t  have  needed  it  in  the  first  place  or  at  least  to  the  degree  of  emergency  we  have  had  to  implement  it! !  And  still  continuing  to  call  it  “C China  virus” ”  continues  to  perpetuate  the  bigotry! !! !  He  is  such  a  *** !! !
FUCK THE CHINA VIRUS,*** THE  CHINA  VIRUS
My eyes be chink asf already...but I had to open my eyes wide asf just to unlock my fucking phone this morning 😂😂😂,My  eyes  be  chink  asf  already. ...b but  I  had  to  open  my  eyes  wide  asf  just  to  unlock  my  *** phone  this  morning  😂😂😂
@matickxx @dead_phones @shoe0nhead Or Wuhan virus... shit I know more people that call it that or the Coif... than the China Virus  ._.,@m matickxx  @d dead_phones  @s shoe0nhead  Or  Wuhan  virus. ...  *** I  know  more  people  that  call  it  that  or  the  Coif. ...  than  the  China  Virus  ._. .
"@ABC That racist ass is still calling the coronavirus the China virus in a release he put out the other day. If the other guy hadn't lied about the severity of the coronavirus we wouldn't have 525,000 deaths. He's take it enough credit for the things he's never accomplished.","@A ABC  That  racist  *** is  still  calling  the  coronavirus  the  China  virus  in  a  release  he  put  out  the  other  day.  If  the  other  guy  hadn n't  lied  about  the  severity  of  the  coronavirus  we  wouldn n't  have  525,000  deaths.  He' 's  take  it  enough  credit  for  the  things  he' 's  never  accomplished. ."
@briantylercohen He still mentioned it as China Virus. What a shameful guy he is? His mind is still like a dogs tail! Cannot be straightened! Realization/emerging as a human at least should happen at old age! This guy proving himself as a sucker everyday,@b briantylercohen  He  still  mentioned  it  as  China  Virus.  What  a  shameful  guy  he  is? ?  His  mind  is  still  like  a  dogs  tail! !  Cann not  be  straightened! !  Realization/emerging  as  a  human  at  least  should  happen  at  old  age! !  This  guy  proving  himself  as  a  *** everyday
@JosiahGreene6 @Frank_idgaf @chinx_102 Nah them shits do charge fast af no cap 😂💯,@J JosiahGreene6  @F Frank_idgaf  @c chinx_102  Nah  them  *** do  charge  fast  af  no  cap  😂💯
@BillKristol @earthylisa “Often referred to as the China Virus” (by racist douchebags),@B BillKristol  @e earthylisa  “O Often  referred  to  as  the  China  Virus” ”  (b by  *** *** )
@yanderelex @monicaschafer_ @vloogonecook @Pick_Neterz @chinx_102 @hannahnoel19991 THE LEMONADE BITCH SCREAMINGHAHAHAH,@y yanderelex  @m monicaschafer_  @v vloogonecook  @P Pick_Neterz  @c chinx_102  @h hannahnoel19991  THE  LEMONADE  BITCH  SCREAMINGHAHAHAH
"throwback to 2017 when woahvickyy released a ricegum diss track with the chorus

""ching chong ching chong ching chong bitch
ching chong ching chong ching chong bitch
i don't eat no cat bitch""","throwback to 2017 when woahvickyy released a ricegum diss track with the chorus

""ching chong ching chong ching chong bitch
ching chong ching chong ching chong bitch
i don't eat no cat bitch"""
"I'm Asian
I have brown skin
I have chink eyes
I am not fucking white
We exist
Fuck you https://t.co/pBPhEAXEVx","I' 'm  Asian
 I  have  brown  skin
 I  have  chink  eyes
 I  am  not  *** white
 We  exist
 *** *** https: :/ //t.co/pBPhEAXEVx"
"Yesterday I was walking thru my neighborhood community trying to direct UPS on how to get to my home right? So as I’m walking a truck pulls up and roll down the window and the nigga say “she’s a runner, she’s a track star”

Like is this how y’all niggas coming nowadays? 

GOOK 🗣","Yesterday  I  was  walking  thru  my  neighborhood  community  trying  to  direct  UPS  on  how  to  get  to  my  home  right? ?  So  as  I’ ’m m  walking  a  truck  pulls  up  and  roll  down  the  window  and  the  *** say  “s she’ ’s s  a  runner, ,  she’ ’s s  a  track  star” ”
 Like  is  this  how  y’ ’a all  *** coming  nowadays? ?  *** 🗣"
"Lemme guess, he saw the memes on social media about ya girl goin to Atlanta and that shit started fuckin wit his mental lol you ain’t her daddy nigga let the bitch live https://t.co/vQ4dd7LXDF","Lemm me  guess, ,  he  saw  the  memes  on  social  media  about  ya  girl  goin  to  Atlanta  and  that  *** started  *** wit  his  mental  lol  you  ain’ ’t t  her  daddy  nigga  let  the  *** live  https: :/ //t.co/vQ4dd7LXDF"
@_1Famst_ My point now i knt be a gook n kuff it but shit gets smacked ya heard,@_ _1Famst_  My  point  now  i  knt  be  a  gook  n  kuff  it  but  *** gets  smacked  ya  heard
"Are first and second amendments are the main stay of OUR COUNTRY. Journalist msm commie leftist high tech ceo's dont mean shit. Men, women, girls. boys .china virus .two genders,old glory, illegals.. Its called freedom of speech M.F the AMERICAN WAY A BOOT IN YOUR ASSES https://t.co/Yd5CYjn1TZ","Are  first  and  second  amendments  are  the  main  stay  of  OUR  COUNTRY.  Journalist  msm  commie  leftist  high  tech  ceo' 's  dont  mean  *** Men, ,  women, ,  girls.  boys  .china  virus  .two  genders, ,o old  glory, ,  illegals..  Its  called  freedom  of  speech  M.F  the  AMERICAN  WAY  A  BOOT  IN  YOUR  ASSES  https: :/ //t.co/Yd5CYjn1TZ"
Thomas Bach is stupid enough to buy chinese vaccines for the #ChineseVirus? @jeuxolympiques @Olympics https://t.co/RW1uzSh2gO,Thomas  Bach  is  *** enough  to  buy  chinese  vaccines  for  the  #C ChineseVirus? ?  @j jeuxolympiques  @O Olympics  https: :/ //t.co/RW1uzSh2gO
"@mtgreenee It has been known fact for a while now that there has been an increase in hate crimes against Asian Americans bc of ignorant people like you calling it the China virus and yet you continue to not give a shit. As a person, that’s disgusting. As a Congresswoman?  Unacceptable.","@m mtgreenee  It  has  been  known  fact  for  a  while  now  that  there  has  been  an  increase  in  hate  crimes  against  Asian  Americans  bc  of  ignorant  people  like  you  calling  it  the  China  virus  and  yet  you  continue  to  not  give  a  *** As  a  person, ,  that’ ’s s  disgusting.  As  a  Congresswoman? ?  Unacceptable. ."
SHUT UP CHINK https://t.co/QNdqIOsscQ,*** *** *** https: :/ //t.co/QNdqIOsscQ
"@Gujju6okree @ShikhaS90918800 And our religious books doesn’t says anything like what you’re claiming that Muslim man can rape non Muslim woman. That’s the problem with you it cell coolie, you people blabber anything shit without supporting your stance.","@G Gujju6okree  @S ShikhaS90918800  And  our  religious  books  doesn’ ’t t  says  anything  like  what  you’ ’r re  claiming  that  Muslim  man  can  rape  non  Muslim  woman.  That’ ’s s  the  problem  with  you  it  cell  coolie, ,  you  people  blabber  anything  *** without  supporting  your  stance. ."
how is it outrage at #chinavirus but total coolness with #ukvariant or #brazilvariant?  y'all a bunch of hypocrites.  #COVID19,how  is  it  outrage  at  #c chinavirus  but  total  coolness  with  #u ukvariant  or  #b brazilvariant? ?  y'all  a  bunch  of  *** #C COVID19
Idc how great the vibes is or sex is can’t no female ever make me do this gook level 99 shit https://t.co/kqQ2xXuXKG,Idc  how  great  the  vibes  is  or  sex  is  can’ ’t t  no  female  ever  make  me  do  this  gook  level  99  *** https: :/ //t.co/kqQ2xXuXKG
"@RightWingCope I honestly lmao when I read it and asked my partner if it was a real statement. The ""often referred to as the China Virus"" got me, ngl. He's so fucking stupid and wants so badly to be relevant","@R RightWingCope  I  honestly  lmao  when  I  read  it  and  asked  my  partner  if  it  was  a  real  statement.  The  ""o often  referred  to  as  the  China  Virus"" ""  got  me, ,  ngl.  He' 's  so  *** *** and  wants  so  badly  to  be  relevant"
"@JamesDavidHunt @DonaldJTrumpJr Jenny Jenny, blaming him for Wuhan flu is like blaming you for it. Silly girl!","@J JamesDavidHunt  @D DonaldJTrumpJr  Jenny  Jenny, ,  blaming  him  for  Wuhan  flu  is  like  blaming  you  for  it.  *** *** !"
@QUEEN___chink Well damn,@Q QUEEN___chink  Well  bless
"@jnktits @vzptoaster shut the fucking up u poopy

i dont want to listen to ching chong bing bong walla walla bang bang songs anymore",@j jnktits  @v vzptoaster  shut  the  *** up  u  *** i  dont  want  to  listen  to  ching  chong  bing  bong  walla  walla  bang  bang  songs  anymore
@d33nichelle (Often referred as the China virus) lol dude is sick man,@d d33nichelle  (O Often  referred  as  the  China  virus) )  lol  dude  is  *** man
@chinx_102 I use Skullcandy because only suckers use AirPods 😆,@c chinx_102  I  use  Skullcandy  because  only  *** use  AirPods  😆
@chinx_102 Fuck if I had them damn pods I would always keep them in my cats like I've seen other people! Hahaha,@c chinx_102  *** if  I  had  them  *** pods  I  would  always  keep  them  in  my  cats  like  I' 've  seen  other  people! !  Hahaha
@SirajAHashmi He put fucking China virus in the memo!,@S SirajAHashmi  He  put  *** China  virus  in  the  memo! !
"He's bored with @JoeBiden. What a shitty job it would be to cover, China Virus Joe. https://t.co/F46Xstp5Ud","He' 's  bored  with  @J JoeBiden.  What  a  *** job  it  would  be  to  cover, ,  China  Virus  Joe.  https: :/ //t.co/F46Xstp5Ud"
"How many times has that fucker called it the ""China Virus""? How much more bullshit must we put up with? It's time we fight back.","How  many  times  has  that  *** called  it  the  ""C China  Virus"" ""? ?  How  much  more  *** must  we  put  up  with? ?  It' 's  time  we  fight  back. ."
@notmunir fuck every mf from wuhan,@n notmunir  *** every  mf  from  wuhan
"oh shit, that's so true bestie. it's so weird that ppl call me a chink and pull their eyes whenever they see me when i'm clearly white /s https://t.co/VJAYuwFfAt","oh  *** ,  that' 's  so  true  bestie.  it' 's  so  weird  that  ppl  call  me  a  chink  and  pull  their  eyes  whenever  they  see  me  when  i' 'm  clearly  white  /s  https: :/ //t.co/VJAYuwFfAt"
@Eyesonthepriz13 @JackPosobiec @GasBuddy Bullshit. It is ALL Wuhan Joe,@E Eyesonthepriz13  @J JackPosobiec  @G GasBuddy  *** It  is  ALL  Wuhan  Joe
"@Charalanahzard no one calls it the ""China virus"" except for racist fucks.","@C Charalanahzard  no  one  calls  it  the  ""C China  virus"" ""  except  for  racist  *** ."
@Pick_Neterz @chinx_102 @hannahnoel19991 God damn nigga if you don’t bust out them alcohol pads,@P Pick_Neterz  @c chinx_102  @h hannahnoel19991  God  *** nigga  if  you  don’ ’t t  bust  out  them  alcohol  pads
Definitely did some gook shit 🥴,*** did  some  *** *** 🥴
GET over the fucking china virus. 2 masks 3 masks and doing these type of thing... Dont F masks work ? https://t.co/YfFwvCPL3a,GET  over  the  *** china  virus.  2  masks  3  masks  and  doing  these  type  of  thing. ...  Dont  F  masks  work  ?  https: :/ //t.co/YfFwvCPL3a
@queend236 He said often referred to as china virus dude u are the only one that calls it that dumbass,@q queend236  He  said  often  referred  to  as  china  virus  dude  u  are  the  only  one  that  calls  it  that  ***
"@davidmackau I was so, so sure this was a joke (esp with the china virus bit included) and had to Google it and I am flabbergasted that this is fucking REAL https://t.co/tY4YeZAaaX","@d davidmackau  I  was  so, ,  so  sure  this  was  a  joke  (e esp  with  the  china  virus  bit  included) )  and  had  to  Google  it  and  I  am  flabbergasted  that  this  is  *** REAL  https: :/ //t.co/tY4YeZAaaX"
"@MysterySolvent I hope everyone remembers that Trump is an idiot.  COVID is not often referred to as ""China Virus"" except by Trump and Trump Republicans.  Everyone else refers to it as Trump Virus.","@M MysterySolvent  I  hope  everyone  remembers  that  Trump  is  an  *** COVID  is  not  often  referred  to  as  ""C China  Virus"" ""  except  by  Trump  and  Trump  Republicans.  Everyone  else  refers  to  it  as  Trump  Virus. ."
"@AndrewFeinberg First, no one but yam tits calls it ""the China Virus."" Because he. is. an. idiot.
Second: AAAAAAAAAAAAAAAAAAAHHHHHHHHHHHHHHHHHHH","@A AndrewFeinberg  First, ,  no  one  but  yam  tits  calls  it  ""t the  China  Virus."" ""  Because  he.  is.  an.  *** Second: :  AAAAAAAAAAAAAAAAAAAHHHHHHHHHHHHHHHHHHH"
"@sc8rlet @lunesviolettes @liiv_r @chinx_102 no the mics are shit on them, i have to talk loud for ppl to hear me on call💔","@s sc8rlet  @l lunesviolettes  @l liiv_r  @c chinx_102  no  the  mics  are  *** on  them, ,  i  have  to  talk  loud  for  ppl  to  hear  me  on  call💔"
"Red China now requires everyone entering the country to submit an anal swab allegedly to check for ChinaVirus.
Same type of test could be done by jamming a q-tip up your snout instead or swabbing your mouth.
It is really about your DNA profile.
Why do they want it?
Think.","Red  China  now  requires  everyone  entering  the  country  to  submit  an  anal  swab  allegedly  to  check  for  ChinaVirus.
 Same  type  of  test  could  be  done  by  jamming  a  q-tip  up  your  snout  instead  or  swabbing  your  mouth.
 It  is  really  about  your  DNA  profile.
 Why  do  they  want  it? ?
 Think. ."
"@ImranKhanPTI Lick the dick of xi jinping, father of wuhan virus.","@I ImranKhanPTI  *** the  *** of  xi  jinping, ,  father  of  wuhan  virus. ."
@JassieDenise 😭😭😭 8 fuckn hours jas lmaooo,@J JassieDenise  😭😭😭  8  *** hours  jas  lmaooo
@chinx_102 Lmao shut uppp,@c chinx_102  Lmao  *** ***
"Literally no one calls it ""the China Virus"". Trump is such a sad, pathetic creature. https://t.co/nVnvEqrMYu","Literally  no  one  calls  it  ""t the  China  Virus"" "". .  Trump  is  such  a  sad, ,  *** *** https: :/ //t.co/nVnvEqrMYu"
@mtgreenee One. You're a moron. Two. It's not the Chinese virus. Three. Your beloved Trump held press conferences galore and spouted nonsensical bullshit. https://t.co/q3IT6RmNIp,@m mtgreenee  One.  You' 're  a  *** Two.  It' 's  not  the  Chinese  virus.  Three.  Your  beloved  Trump  held  press  conferences  galore  and  spouted  nonsensical  bullshit.  https: :/ //t.co/q3IT6RmNIp
"@ProjectLincoln 1/2: Is he fucking stupid? I'm sorry, of course he is. First of all, COVID is not often referred to as the ""China Virus"". Maybe by him, but not the rest of Americans that have more than half a brain. Also, if he was never President, 530k Americans would not have died in a year.","@ProjectLincoln 1/2: Is he fucking stupid? I'm sorry, of course he is. First of all, COVID is not often referred to as the ""China Virus"". Maybe by him, but not the rest of Americans that have more than half a brain. Also, if he was never President, 530k Americans would not have died in a year."
I treat “ling ling” or “chink” like it’s the N word. Don’t fucking use those in a sentence around me unless u want ur shit rocked by a 5’1 bitch,I  treat  “l ling  ling” ”  or  “c chink” ”  like  it’ ’s s  the  N  word.  Don’ ’t t  fucking  use  those  in  a  sentence  around  me  unless  u  want  ur  *** rocked  by  a  5’ ’1 1  ***
@BillKristol sad!!! That you can’t handle the truth that if it wasn’t for President Trump. Your old ass would probably die from the China virus!!! 10 months it took him!!! Your an IDIOT!!!,@B BillKristol  sad! !! !! !  That  you  can’ ’t t  handle  the  truth  that  if  it  wasn’ ’t t  for  President  Trump.  Your  old  ass  would  probably  die  from  the  China  virus! !! !! !  10  months  it  took  him! !! !! !  Your  an  *** !! !! !
"Where were you when Baaghi 3 and Coolie no.1 were receiving the Hatred?

Blood* Hypocrite!!! https://t.co/pJtYYuv80f","Where  were  you  when  Baaghi  3  and  Coolie  no.1  were  receiving  the  Hatred? ?
 *** *** !! !! !  https: :/ //t.co/pJtYYuv80f"
@SumitkadeI @simmy65406472 Isn't that exactly what you did for Coolie no.1 ?? Hypocrisy ki bhi seema hoti hai dude. Plz don't call yourself a critic. That word and profession has some decency and class attached.,@S SumitkadeI  @s simmy65406472  Isn n't  that  exactly  what  you  did  for  Coolie  no.1  ?? ?  *** ki  bhi  seema  hoti  hai  dude.  Plz  don n't  call  yourself  a  critic.  That  word  and  profession  has  some  decency  and  class  attached. .
"Wifey finally made it into Australia. We’ve been stuck in different countries since February 16th 2020 due to the Kung Flu. 
Now for her 2 weeks quarantine in the mandatory government enforced  $3000 hotel...and two more covid tests at $200 a pop...
Fucken miss her.
Fuck Covid 🖕","Wifey  finally  made  it  into  Australia.  We’ ’v ve  been  stuck  in  different  countries  since  February  16th  2020  due  to  the  Kung  Flu.  Now  for  her  2  weeks  quarantine  in  the  mandatory  government  enforced  $3 3000  hotel. ...a and  two  more  covid  tests  at  $2 200  a  pop. ...
 *** miss  her.
 *** Covid  🖕"
@SumitkadeI so coolie no1 was the best movie of 2020 ig according to u ??? dont u feel ashamed ??? doing this shit and theres tons of hardwork goes in those terrible movies tooo,@S SumitkadeI  so  coolie  no1  was  the  best  movie  of  2020  ig  according  to  u  ?? ?? ?  dont  u  feel  ashamed  ?? ?? ?  doing  this  *** and  theres  tons  of  hardwork  goes  in  those  terrible  movies  tooo
"@SecBlinken The Chinese Communists see through the fact that you Americans are cowardly fools, so they dare to create the 911 incident. The Chinese Communists dare not use ""Wuhan virus"" killed more than 100000 people.","@S SecBlinken  The  Chinese  Communists  see  through  the  fact  that  you  Americans  are  cowardly  *** ,  so  they  dare  to  create  the  911  incident.  The  Chinese  Communists  dare  not  use  ""W Wuhan  virus"" ""  killed  more  than  100000  people. ."
@rtenews goddam china virus,*** *** *** china  ***
@chinx_102 @_Lxleh cap these shits break without you having to do anything i swear,@c chinx_102  @_ _Lxleh  cap  these  *** break  without  you  having  to  do  anything  i  swear
"@rmayemsinger The subjunctive is a mood, not a case. But also, fuck “China Virus” over and over. This guy is dirt.","@r rmayemsinger  The  subjunctive  is  a  mood, ,  not  a  case.  But  also, ,  *** “C China  Virus” ”  over  and  over.  This  guy  is  *** ."
"@VP Haha....y is only 9% of the bill actually 4 China Virus Relief? Got news 4 u, a lot of Americans aren't as happy as u think! 

Ohhhhhh &amp; while I'm tweeting u...why so quiet on the @NYGovCuomo sexual harassment charges? You sure had a big enough mouth during Kavanaugh! #hypocrite","@V VP  Haha. .... .y  is  only  9% %  of  the  bill  actually  4  China  Virus  Relief? ?  Got  news  4  u, ,  a  lot  of  Americans  aren n't  as  happy  as  u  think! !  Ohhhhhh  &a amp; ;  while  I' 'm  tweeting  u. ...w why  so  quiet  on  the  @N NYGovCuomo  sexual  harassment  charges? ?  You  sure  had  a  big  enough  mouth  during  Kavanaugh! !  *** ***"
@chinx_102 @PLANETHOSEOK Stfu that Bitchhhhh broke on the first day,@c chinx_102  @P PLANETHOSEOK  Stfu  that  *** broke  on  the  first  day
"@davidmackau Remember he got the shot in January after calling it a hoax. Remember he referred and continues to refer to it as the “China virus”, in the midst of hate crimes going up in the Asian community. Remember he gaslit a crowd of 🧟‍♀️ to fuck up the capitol because he lost. Goofy ass","@d davidmackau  Remember  he  got  the  shot  in  January  after  calling  it  a  hoax.  Remember  he  referred  and  continues  to  refer  to  it  as  the  “C China  virus” ”, ,  in  the  midst  of  hate  crimes  going  up  in  the  Asian  community.  Remember  he  gaslit  a  crowd  of  🧟‍♀️  to  fuck  up  the  capitol  because  he  lost.  Goofy  ***"
"""Often referred to as the china virus""......by who? Racist assholes?  And yes, these are his tweets now. On letterhead. Its the same damn thing. How pathetic. https://t.co/xWF0R8InV3","""O Often  referred  to  as  the  china  virus"" "". .... ...b by  who? ?  *** *** ?  And  yes, ,  these  are  his  tweets  now.  On  letterhead.  Its  the  same  *** thing.  How  *** https: :/ //t.co/xWF0R8InV3"
@CMOWales @PublicHealthW What a load of shit this Kung flu is u have to be tested to see if you have it. 95% of people that catch the Kung flu recover. 🤔🤔🤔🤔🤔🤔🤔,@C CMOWales  @P PublicHealthW  What  a  load  of  *** this  Kung  flu  is  u  have  to  be  tested  to  see  if  you  have  it.  95% %  of  people  that  catch  the  Kung  flu  recover.  🤔🤔🤔🤔🤔🤔🤔
"@craigofcolumbia You'd do yourself an incredible favor by, at the very minimum, acknowledging that Fauci is a criminal asshole that publicly lied to the country about masks, &amp; better yet, is deeply responsible for how this virus was transported from NC to Wuhan.

Really simple.","@c craigofcolumbia  You' 'd  do  yourself  an  incredible  favor  by, ,  at  the  very  minimum, ,  acknowledging  that  Fauci  is  a  criminal  *** that  publicly  lied  to  the  country  about  masks, ,  &a amp; ;  better  yet, ,  is  deeply  responsible  for  how  this  virus  was  transported  from  NC  to  Wuhan.
 Really  simple. ."
"The article goes on to say that she proceeded to spit in the bean dip and loudly exclaimed ""China virus, bitch"" before leaving. https://t.co/Htw6IEJ64h","The  article  goes  on  to  say  that  she  proceeded  to  spit  in  the  bean  dip  and  loudly  exclaimed  ""C China  virus, ,  *** ""  before  leaving.  https: :/ //t.co/Htw6IEJ64h"
"“I hope everyone remembers when they’re getting the Covid-19 (often referred to as the China Virus) vaccine, that if I wasn’t president, you wouldn’t be getting that beautiful ‘shot’"".

We remember how you fucked this country over. Thanks for the reminder.
https://t.co/9VRfETajtN","“I hope everyone remembers when they’re getting the Covid-19 (often referred to as the China Virus) vaccine, that if I wasn’t president, you wouldn’t be getting that beautiful ‘shot’"".

We remember how you fucked this country over. Thanks for the reminder.
https://t.co/9VRfETajtN"
"What a absolute joke.. another waste of money.  Sign the damn bill.  Give money to those that weren't effected by the Chinese virus.  Other countries, inmates, illegals and other ridiculous hand outs. Politicians SUCK!","What  a  absolute  joke..  another  waste  of  money.  Sign  the  *** bill.  Give  money  to  those  that  weren n't  effected  by  the  Chinese  virus.  Other  countries, ,  inmates, ,  illegals  and  other  *** hand  outs.  Politicians  *** !"
"""often referred to as the China virus"" 😂

Dude, half a million people DIED because of your incompetence. I hope you remember that every night before you take your stupid ass to bed! https://t.co/6oOQHCFynH","""o often  referred  to  as  the  China  virus"" ""  😂
 Dude, ,  half  a  million  people  DIED  because  of  your  incompetence.  I  hope  you  remember  that  every  night  before  you  take  your  *** *** to  bed! !  https: :/ //t.co/6oOQHCFynH"
@dreaminorbit @gaybabylegsviki You must have 1 brain cell if you're comparing Ching Chong to the n word,@d dreaminorbit  @g gaybabylegsviki  You  must  have  1  *** *** if  you' 're  comparing  Ching  Chong  to  the  n  word
god i fucking hate when people call it the china virus. it's a classic example of politicians fearmongering by blaming someone for it and making it an 'us' and 'them' situation. https://t.co/sK9QUvTkd7,god  i  *** hate  when  people  call  it  the  china  virus.  it' 's  a  classic  example  of  politicians  fearmongering  by  blaming  someone  for  it  and  making  it  an  'us' '  and  'them' '  situation.  https: :/ //t.co/sK9QUvTkd7
"https://t.co/DZh29j8rgt

Following on that some dirty stinking disgusting Chinese ate a bat and ruined the world","https: :/ //t.co/DZh29j8rgt
 Following  on  that  some  *** *** *** Chinese  ate  a  bat  and  ruined  the  world"
"@yanderelex @monicaschafer_ @Pick_Neterz @chinx_102 @hannahnoel19991 Shit crazy, but did you see what CD said?","@y yanderelex  @m monicaschafer_  @P Pick_Neterz  @c chinx_102  @h hannahnoel19991  *** *** ,  but  did  you  see  what  CD  said? ?"
"Motherfuckers be calling it a ""chinese virus"" yet still be grinding on tik tok all day long","*** be  calling  it  a  ""c chinese  virus"" ""  yet  still  be  grinding  on  tik  tok  all  day  long"
@CNN I think you meant to say since the W.H.O. started covering for their masters in China. You know where the freaking CHINA VIRUS came from.. The W.H.O. is a fraudulent organization full of Fear Peddlers like the FRAUD FAUCI himself..,@C CNN  I  think  you  meant  to  say  since  the  W.H.O.  started  covering  for  their  masters  in  China.  You  know  where  the  *** CHINA  VIRUS  came  from..  The  W.H.O.  is  a  fraudulent  organization  full  of  Fear  Peddlers  like  the  FRAUD  *** himself..
“(Often referred to as the China Virus)” this fucking dude man https://t.co/CxudM5e9I6,“( (O Often  referred  to  as  the  China  Virus) )” ”  this  *** dude  man  https: :/ //t.co/CxudM5e9I6
@NXNW_Chink that nigga was howling,@N NXNW_Chink  that  *** was  ***
@NXNW_Chink it was a gay couple,@N NXNW_Chink  it  was  a  *** uncouple
@StayInYaLAIN_ 😂😂😂 lazy ass.,@S StayInYaLAIN_  😂😂😂  *** *** .
@Badassmeerahk I hope tomorrow is better for you.,*** *** I  hope  tomorrow  is  better  for  you. .
Not with no nasty ass coconut water I won’t. https://t.co/Tyr1IaWhee,Not  with  no  *** *** coconut  water  I  won’ ’t t.  https: :/ //t.co/Tyr1IaWhee
"I do this random shit too, and I never know exactly why; I just be hoping I don’t get no type of skin irritation from the plant because I’m going to continue to do this whenever I walk past one. https://t.co/Af04LW2Ctq","I  do  this  random  *** too, ,  and  I  never  know  exactly  why; ;  I  just  be  hoping  I  don’ ’t t  get  no  type  of  skin  irritation  from  the  plant  because  I’ ’m m  going  to  continue  to  do  this  whenever  I  walk  past  one.  https: :/ //t.co/Af04LW2Ctq"
@Anasiadior1 @KIYAHDADON Bitches be built cowardly.,@A Anasiadior1  @K KIYAHDADON  *** be  built  *** .
"@NXNW_Chink @camrynnstormm it be like that bro , fuck em","@N NXNW_Chink  @c camrynnstormm  it  be  like  that  bro  ,  *** ***"
"""45th President"" ""China virus"" This man and his fucking paper tweets. #fuckdonaldtrump https://t.co/VwHuRdF9mD https://t.co/6kVQIbpO1V","""4 45th  President"" ""  ""C China  virus"" ""  This  man  and  his  *** paper  tweets.  *** *** https: :/ //t.co/VwHuRdF9mD  https: :/ //t.co/6kVQIbpO1V"
"I’ll bloody well never be able to forget this asshole.  What does he think he did - invent SARS-Co-2 vaccine in the Whitehouse basement?  Oh, and I’m sure all the Asians getting beat up by trump’s rabble appreciate the “China Virus” comment.  Fucking idiot. https://t.co/pMxrwNowOX","I’ ’l ll  bloody  well  never  be  able  to  forget  this  *** What  does  he  think  he  did  -  invent  SARS-Co-2  vaccine  in  the  Whitehouse  basement? ?  Oh, ,  and  I’ ’m m  sure  all  the  Asians  getting  beat  up  by  trump’ ’s s  rabble  appreciate  the  “C China  Virus” ”  comment.  *** *** https: :/ //t.co/pMxrwNowOX"
@chinx_102 @pollizz03 pollo ur shit don’t even work anymore,@c chinx_102  @p pollizz03  pollo  ur  *** don’ ’t t  even  work  anymore
